txn_date,daily_transactions,rolling_7d_avg
2015-05-03,83,83.0
2015-05-04,154,118.5
2015-05-05,225,154.0
2015-05-06,258,180.0
2015-05-07,217,187.4
2015-05-08,126,177.2
2015-05-09,63,160.9
2015-05-10,60,157.6
2015-05-11,84,147.6
2015-05-12,186,142.0
2015-05-13,208,134.9
2015-05-14,256,140.4
2015-05-15,185,148.9
2015-05-16,130,158.4
2015-05-17,169,174.0
2015-05-18,245,197.0
2015-05-19,196,198.4
2015-05-20,125,186.6
2015-05-21,131,168.7
2015-05-22,154,164.3
2015-05-23,113,161.9
2015-05-24,97,151.6
2015-05-25,178,142.0
2015-05-26,194,141.7
2015-05-27,197,152.0
2015-05-28,225,165.4
2015-05-29,137,163.0
2015-05-30,116,163.4
2015-05-31,99,163.7
2015-06-01,200,166.9
2015-06-02,206,168.6
2015-06-03,204,169.6
2015-06-04,205,166.7
2015-06-05,149,168.4
2015-06-06,104,166.7
2015-06-07,106,167.7
2015-06-08,192,166.6
2015-06-09,132,156.0
2015-06-10,210,156.9
2015-06-11,157,150.0
2015-06-12,107,144.0
2015-06-13,60,137.7
2015-06-14,108,138.0
2015-06-15,191,137.9
2015-06-16,276,158.4
2015-06-17,269,166.9
2015-06-18,220,175.9
2015-06-19,166,184.3
2015-06-20,111,191.6
2015-06-21,83,188.0
2015-06-22,234,194.1
2015-06-23,250,190.4
2015-06-24,177,177.3
2015-06-25,204,175.0
2015-06-26,177,176.6
2015-06-27,91,173.7
2015-06-28,89,174.6
2015-06-29,203,170.1
2015-06-30,162,157.6
2015-07-01,195,160.1
2015-07-02,155,153.1
2015-07-03,155,150.0
2015-07-04,119,154.0
2015-07-05,100,155.6
2015-07-06,219,157.9
2015-07-07,247,170.0
2015-07-08,259,179.1
2015-07-09,207,186.6
2015-07-10,181,190.3
2015-07-11,98,187.3
2015-07-12,91,186.0
2015-07-13,216,185.6
2015-07-14,231,183.3
2015-07-15,216,177.1
2015-07-16,239,181.7
2015-07-17,139,175.7
2015-07-18,102,176.3
2015-07-19,116,179.9
2015-07-20,232,182.1
2015-07-21,227,181.6
2015-07-22,267,188.9
2015-07-23,234,188.1
2015-07-24,137,187.9
2015-07-25,116,189.9
2015-07-26,144,193.9
2015-07-27,267,198.9
2015-07-28,273,205.4
2015-07-29,240,201.6
2015-07-30,214,198.7
2015-07-31,166,202.9
2015-08-01,79,197.6
2015-08-02,105,192.0
2015-08-03,198,182.1
2015-08-04,209,173.0
2015-08-05,237,172.6
2015-08-06,127,160.1
2015-08-07,175,161.4
2015-08-08,67,159.7
2015-08-09,60,153.3
2015-08-10,129,143.4
2015-08-11,129,132.0
2015-08-12,195,126.0
2015-08-13,177,133.1
2015-08-14,112,124.1
2015-08-15,92,127.7
2015-08-16,78,130.3
2015-08-17,209,141.7
2015-08-18,201,152.0
2015-08-19,219,155.4
2015-08-20,208,159.9
2015-08-21,132,162.7
2015-08-22,91,162.6
2015-08-23,94,164.9
2015-08-24,179,160.6
2015-08-25,165,155.4
2015-08-26,205,153.4
2015-08-27,210,153.7
2015-08-28,152,156.6
2015-08-29,77,154.6
2015-08-30,146,162.0
2015-08-31,175,161.4
2015-09-01,158,160.4
2015-09-02,141,151.3
2015-09-03,138,141.0
2015-09-04,153,141.1
2015-09-05,80,141.6
2015-09-06,79,132.0
2015-09-07,189,134.0
2015-09-08,148,132.6
2015-09-09,192,139.9
2015-09-10,181,146.0
2015-09-11,211,154.3
2015-09-12,102,157.4
2015-09-13,88,158.7
2015-09-14,154,153.7
2015-09-15,158,155.1
2015-09-16,137,147.3
2015-09-17,45,127.9
2015-09-18,15,99.9
